Variables = "X" "Y" "Z" "U" "V" "W" "MC" "GC" 
ZONE F=FEPOINT,ET=TRIANGLE,N=9002,E=18000SOLUTIONTIME=0 
-3.458899697E-01 -6.043619216E-01 -7.686235065E-01 -5.216275466E-01 -5.560242263E-01 -6.471025904E-01  1.474822319E+00  1.638597209E+00 
-2.663840163E-01 -4.693455349E-01 -8.978827340E-01 -4.792433139E-01 -2.738847367E-01 -8.338543021E-01  1.550049340E+00  2.313905188E+00 
-3.416808316E-01 -4.684870418E-01 -8.494032631E-01 -5.582214609E-01 -2.719986188E-01 -7.838402593E-01  1.342718345E+00  1.541105831E+00 
-3.175774625E-01 -6.349474238E-01 -7.626596162E-01 -4.825694624E-01 -6.221239948E-01 -6.165131378E-01  1.529012977E+00  1.863801309E+00 
-3.734125482E-01 -5.714026171E-01 -7.721252105E-01 -5.550154778E-01 -4.865672537E-01 -6.746926167E-01  1.396238422E+00  1.358998624E+00 
-2.015789184E-01 -5.039168837E-01 -9.185513666E-01 -3.823072857E-01 -3.439118965E-01 -8.576512967E-01  1.769935196E+00  3.083565322E+00 
-2.525836263E-01 -6.642396001E-01 -7.785701732E-01 -4.017460597E-01 -6.861564137E-01 -6.064564943E-01  1.657180218E+00  2.432289253E+00 
-1.747233276E-01 -5.377431089E-01 -9.148632206E-01 -3.337213354E-01 -4.142912190E-01 -8.467543069E-01  1.873567256E+00  3.455441973E+00 
-2.158150996E-01 -6.642105792E-01 -8.012535361E-01 -3.574749440E-01 -6.875813270E-01 -6.320154928E-01  1.748950735E+00  2.824930654E+00 
-3.897052982E-01 -5.024912970E-01 -7.993318317E-01 -5.852288479E-01 -3.435038409E-01 -7.345150147E-01  1.273995147E+00  1.104463926E+00 
-1.582004642E-01 -6.046324274E-01 -8.812175956E-01 -2.931657828E-01 -5.594973159E-01 -7.752525893E-01  1.938861519E+00  3.662299279E+00 
-1.688263158E-01 -6.365071551E-01 -8.515409563E-01 -3.014453050E-01 -6.294208177E-01 -7.162123723E-01  1.897246499E+00  3.464801769E+00 
-2.278325874E-01 -4.681333299E-01 -9.189646050E-01 -4.267728207E-01 -2.742361188E-01 -8.617769494E-01  1.643902193E+00  2.661372653E+00 
-2.887748198E-01 -6.629358723E-01 -7.543682633E-01 -4.392301140E-01 -6.831623813E-01 -5.834090055E-01  1.559187303E+00  2.025242013E+00 
-3.781794641E-01 -4.667672403E-01 -8.229525344E-01 -5.844034412E-01 -2.722851374E-01 -7.644170470E-01  1.234992178E+00  1.136748830E+00 
-3.998782785E-01 -5.363860746E-01 -7.731285756E-01 -5.816284600E-01 -4.158284722E-01 -6.991387676E-01  1.294317624E+00  1.040396215E+00 
-2.913077793E-01 -4.313069516E-01 -8.938723303E-01 -5.130978854E-01 -2.061857040E-01 -8.331974649E-01  1.397111485E+00  1.873059229E+00 
-3.287567831E-01 -4.308575453E-01 -8.696085970E-01 -5.509736019E-01 -2.049556981E-01 -8.089630720E-01  1.290483746E+00  1.511401665E+00 
-1.468516580E-01 -5.700849443E-01 -9.077860195E-01 -2.808688154E-01 -4.849262131E-01 -8.282265851E-01  1.952781858E+00  3.756137444E+00 
-1.786331924E-01 -6.654387583E-01 -8.192039646E-01 -3.056042150E-01 -6.926266265E-01 -6.533562734E-01  1.829315241E+00  3.181359734E+00 
-3.530791551E-01 -6.321036188E-01 -7.364234893E-01 -5.096081760E-01 -6.191158448E-01 -5.974906507E-01  1.425817298E+00  1.448055397E+00 
-3.812846995E-01 -6.012310902E-01 -7.416591683E-01 -5.445373608E-01 -5.543122082E-01 -6.294577337E-01  1.370984011E+00  1.220623997E+00 
-2.532126864E-01 -4.307911527E-01 -9.161321056E-01 -4.662472620E-01 -2.074858406E-01 -8.599785559E-01  1.497971426E+00  2.211585536E+00 
-3.654530659E-01 -4.296158451E-01 -8.438373399E-01 -5.797515039E-01 -2.047033122E-01 -7.886600964E-01  1.180943020E+00  1.135144175E+00 
-3.242656728E-01 -6.604995344E-01 -7.290054512E-01 -4.698137310E-01 -6.793982049E-01 -5.636427390E-01  1.458085499E+00  1.621155306E+00 
-2.238401265E-01 -6.889090723E-01 -7.671115256E-01 -3.533122433E-01 -7.406444810E-01 -5.715034658E-01  1.659614822E+00  2.498035611E+00 
-1.626313707E-01 -5.005278921E-01 -9.356068873E-01 -3.181147057E-01 -3.406307050E-01 -8.847450237E-01  1.844913299E+00  3.383664483E+00 
-4.086059712E-01 -5.681253167E-01 -7.446222701E-01 -5.733374990E-01 -4.866876569E-01 -6.591048755E-01  1.293545519E+00  9.494227563E-01 
